run,iteration,fitness,sure_generated
11,18,2.587733069958631e-05,0
12,18,2.19197099795565e-05,0
13,18,4.4233394874027e-05,0
14,18,2.035881334450096e-05,0
15,18,7.020209977781633e-06,0
16,18,1.4105129594099708e-05,0
17,18,0.05720493942499161,0
18,18,6.85939130562474e-06,0
19,18,1.7410857253707945e-05,0
20,18,9.882977792585734e-06,0
21,18,7.234885561047122e-05,0
22,18,2.7551590392249636e-05,0
23,18,3.47432323906105e-05,0
24,18,2.676993972272612e-05,0
25,18,2.53414054895984e-05,0
26,18,3.7739948311354965e-05,0
27,18,7.633829227415845e-06,0
28,18,0.029262173920869827,0
29,18,2.2218637241167016e-05,0
30,18,1.456393874832429e-05,0
1,19,3.362415009178221e-05,0
2,19,9.803153261600528e-06,0
3,19,1.6905987649806775e-05,0
4,19,1.5420758927575662e-06,0
5,19,1.1894243471033406e-05,0
6,19,6.912006938364357e-05,0
7,19,2.217077781097032e-05,0
8,19,8.830692422634456e-06,0
9,19,9.77404761215439e-06,0
10,19,1.2257465641596355e-05,0
11,19,1.6098982086987235e-05,0
12,19,3.054819899261929e-05,0
13,19,1.39753392431885e-05,0
14,19,2.760187999228947e-05,0
15,19,5.233822321315529e-06,0
16,19,1.8300626834388822e-05,0
17,19,0.040561284869909286,0
18,19,9.292116374126635e-06,0
19,19,1.3702258002012968e-05,0
20,19,3.5171772196918027e-06,0
21,19,6.676711200270802e-05,0
22,19,1.8506380001781508e-06,0
23,19,2.1563835616689175e-05,0
24,19,1.4497155461867806e-05,0
25,19,1.952538514160551e-05,0
26,19,6.828439654782414e-05,0
27,19,6.994335763010895e-06,0
28,19,0.02952585369348526,0
29,19,5.207046342547983e-05,0
30,19,1.4803832527832128e-05,0
1,20,9.385134762851521e-05,0
2,20,1.199122107209405e-05,0
3,20,1.3713099178858101e-05,0
4,20,5.404979674494825e-06,0
5,20,9.037369636644144e-06,0
6,20,9.048506763065234e-05,0
7,20,2.2810945665696636e-05,0
8,20,1.067490939021809e-05,0
9,20,9.387115824210923e-06,0
10,20,2.9327140509849414e-05,0
11,20,2.2518115656566806e-05,0
12,20,2.256316838611383e-05,0
13,20,2.2539430574397556e-05,0
14,20,2.5276176529587246e-05,0
15,20,5.2877994676236995e-06,0
16,20,2.6582438295008615e-05,0
17,20,0.039534132927656174,0
18,20,5.177657840249594e-06,0
19,20,2.3031685486785136e-05,0
20,20,1.359318684990285e-05,0
21,20,0.00010508748528081924,0
22,20,5.27199954376556e-05,0
23,20,2.264812974317465e-05,0
24,20,1.5665931641706266e-05,0
25,20,1.9422475816099904e-05,0
26,20,3.779978783313709e-07,0
27,20,6.269545338000171e-06,0
28,20,0.030820252373814583,0
29,20,4.902741238765884e-06,0
30,20,5.499003236764111e-06,0
1,21,0.00017516313528176397,0
2,21,2.4074985049082898e-05,0
3,21,1.811833499232307e-05,0
4,21,9.495841368334368e-06,0
5,21,1.1993889529549051e-05,0
6,21,0.0004794205888174474,0
7,21,3.523449777276255e-05,0
8,21,1.0627320079947822e-05,0
9,21,1.910830860651913e-06,0
10,21,2.8178783395560458e-05,0
11,21,1.918288580782246e-05,0
12,21,2.3774067813064903e-05,0
13,21,5.304778824211098e-06,0
14,21,3.3831056498456746e-05,0
15,21,9.756390682014171e-06,0
16,21,4.064798849867657e-05,0
17,21,0.07206312566995621,0
18,21,7.5868479143537115e-06,0
19,21,2.0173882148810662e-05,0
20,21,1.436086677131243e-05,0
21,21,0.00015598585014231503,0
22,21,3.7163783417781815e-05,0
23,21,3.489016307867132e-05,0
24,21,2.510895865270868e-05,0
25,21,1.7567570466781035e-05,0
26,21,1.8138149243895896e-05,0
27,21,2.000319909711834e-05,0
28,21,0.0052826423197984695,0
29,21,2.530372148612514e-05,0
30,21,1.3432470950647257e-05,0
1,22,7.037824980216101e-05,0
2,22,1.876874921435956e-05,0
3,22,3.137092062388547e-05,0
4,22,2.4186452719732188e-05,0
5,22,8.890940989658702e-06,0
6,22,0.00020197080448269844,0
7,22,3.118650784017518e-05,0
8,22,1.2478613825805951e-05,0
9,22,8.39733093016548e-06,0
10,22,1.2077119208697695e-05,0
11,22,2.4206061425502412e-05,0
12,22,2.666112777660601e-05,0
13,22,4.773944601765834e-05,0
14,22,1.4840859876130708e-05,0
15,22,6.277977263380308e-06,0
16,22,1.8026623365585692e-05,0
17,22,0.07663706690073013,0
18,22,2.152516799469595e-06,0
19,22,1.080260244634701e-05,0
20,22,4.981059191777604e-06,0
21,22,5.297487950883806e-05,0
22,22,4.996991265215911e-05,0
23,22,7.96587028162321e-06,0
24,22,1.6613726984360255e-05,0
25,22,1.9553410311345942e-05,0
26,22,3.01387863146374e-05,0
27,22,3.3425640140194446e-05,0
28,22,0.03765757009387016,0
29,22,2.4309543732670136e-05,0
30,22,1.0304793249815702e-05,0
1,23,6.539599417010322e-05,0
2,23,1.8264630853082053e-05,0
3,23,1.914213498821482e-05,0
4,23,6.5764907049015164e-06,0
5,23,3.062692121602595e-05,0
6,23,3.714696504175663e-05,0
7,23,2.2695347070111893e-05,0
8,23,1.602301017555874e-05,0
9,23,5.986787073197775e-06,0
10,23,1.6183759726118296e-05,0
11,23,1.2360944310785271e-05,0
12,23,2.0431336452020332e-05,0
13,23,3.0714327294845134e-05,0
